Species,Species_with_underscore,Formatted_species,Suborder,Family,Territorial,Male territorial polymorphism,Aggressiveness,Lek,Male site fidelity (length of time) ,Territory size,Sex polymorphisms,Sex dimorphisms,Geo polymorphism,Mass of male,Mass of female,Male body length (mm),Max male body length,Female body length (mm),Max female body length,Length of male tibia (mm),Male forewing length,Male hindwing length (mm),Female forewing length (mm),Female hindwing length (mm),Species distribution,Migratory,JNCC Red List status,Conservation status IUCN,Extinction risk category,Oviposition type (endophytic vs exophytic),Oviposition substrate,Oviposition,Number of oviposition sites,Lotic vs lentic (breeding habitat),Habitat breadth,Flier vs percher,Mate guarding,Agonistic display,Courtship,Aquatic habitat,Ecozone,Climate,Habitat openness,Body pattern,Body colourtype,Body colour,Territorial wing pigmentation,Non-territorial wing pigmentation,Wing pigmentation,Wing pigment pattern,Wing pigment extent discrete,Wing pigment extent continuous,Wing pigment symmetry,Wing pigment dimorphism,Wing pigment colour,Wing pigment placement,Wing pigment colour type,Female has wing pigment,Female wing pigment extent discrete,Female wing pigment extent continuous,Female wing pigment placement,Flight period - start,Flight period - end,Flight period duration (months),Reference,Original source,Original source #2,Original source #3,Original source #4,Original source - body size,Original source - flight period,Original source - distribution status,Original source - migratory,Original source - distribution status,Original source - red list,Original source - oviposition,Original source - breeding habitat,Original source - breeding habitat
Coenagrion puella,Coenagrion_puella,Coenagrion_puella,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Coenagrion pulchellum,Coenagrion_pulchellum,Coenagrion_pulchellum,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Coenagrion scitulum,Coenagrion_scitulum,Coenagrion_scitulum,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma cyathigerum,Enallagma_cyathigerum,Enallagma_cyathigerum,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma hageni,Enallagma_hageni,Enallagma_hageni,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma ebrium,Enallagma_ebrium,Enallagma_ebrium,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma exsulans,Enallagma_exsulans,Enallagma_exsulans,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura denticollis,Ischnura_denticollis,Ischnura_denticollis,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura elegans,Ischnura_elegans,Ischnura_elegans,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura graellsii,Ischnura_graellsii,Ischnura_graellsii,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura posita,Ischnura_posita,Ischnura_posita,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura pumilio,Ischnura_pumilio,Ischnura_pumilio,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura ramburii,Ischnura_ramburii,Ischnura_ramburii,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura senegalensis,Ischnura_senegalensis,Ischnura_senegalensis,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura verticalis,Ischnura_verticalis,Ischnura_verticalis,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura chingaza,Ischnura_chingaza,Ischnura_chingaza,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnuram cruzi,Ischnuram_cruzi,Ischnuram_cruzi,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura cyane,Ischnura_cyane,Ischnura_cyane,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Lestes barbarus,Lestes_barbarus,Lestes_barbarus,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Lestes disjunctus,Lestes_disjunctus,Lestes_disjunctus,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Lestes sponsa,Lestes_sponsa,Lestes_sponsa,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Lestes virens,Lestes_virens,Lestes_virens,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Nehalennia irene,Nehalennia_irene,Nehalennia_irene,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Platycnemis acutipennis,Platycnemis_acutipennis,Platycnemis_acutipennis,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Platycnemis latipes,Platycnemis_latipes,Platycnemis_latipes,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Platycnemis pennipes,Platycnemis_pennipes,Platycnemis_pennipes,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Protoneura cara,Protoneura_cara,Protoneura_cara,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Sympecma paedisca,Sympecma_paedisca,Sympecma_paedisca,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis carmesina,Telebasis_carmesina,Telebasis_carmesina,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis corallina,Telebasis_corallina,Telebasis_corallina,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis digiticollis,Telebasis_digiticollis,Telebasis_digiticollis,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis incolumis,Telebasis_incolumis,Telebasis_incolumis,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis limoncocha,Telebasis_limoncocha,Telebasis_limoncocha,,,No,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia moesta,Argia_moesta,Argia_moesta,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia sedula,Argia_sedula,Argia_sedula,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia vivida,Argia_vivida,Argia_vivida,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Calopteryx_haemorrhoidalis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Calopteryx xanthostoma,Calopteryx_xanthostoma,Calopteryx_xanthostoma,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Cora marina,Cora_marina,Cora_marina,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma civile,Enallagma_civile,Enallagma_civile,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma vesperum,Enallagma_vesperum,Enallagma_vesperum,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Hetaerina flavipennis,Hetaerina_flavipennis,Hetaerina_flavipennis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Chalcolestes_viridis,Chalcolestes_viridis,Chalcolestes_viridis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Mnais pruinosa,Mnais_pruinosa,Mnais_pruinosa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Mnesarete ephippium,Mnesarete_ephippium,Mnesarete_ephippium,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Nososticta kalumburu,Nososticta_kalumburu,Nososticta_kalumburu,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Paraphlebia quinta,Paraphlebia_quinta,Paraphlebia_quinta,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Perilestes kahli,Perilestes_kahli,Perilestes_kahli,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Platycypha caligata,Platycypha_caligata,Platycypha_caligata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Pyrrhosoma nymphula,Pyrrhosoma_nymphula,Pyrrhosoma_nymphula,,,Yes,,,,,,,,,,,,,,,,,,,,,,,LC,NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Coenagrion mercuriale,Coenagrion_mercuriale,Coenagrion_mercuriale,,,No,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma pictum,Enallagma_pictum,Enallagma_pictum,,,No,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Enallagma recurvatum,Enallagma_recurvatum,Enallagma_recurvatum,,,No,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura aralensis,Ischnura_aralensis,Ischnura_aralensis,,,No,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Mortonagrion hirosei,Mortonagrion_hirosei,Mortonagrion_hirosei,,,No,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Nehalennia speciosa,Nehalennia_speciosa,Nehalennia_speciosa,,,No,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Libellago stictica,Libellago_stictica,Libellago_stictica,,,Yes,,,,,,,,,,,,,,,,,,,,,,,NT,NT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis flammeola,Telebasis_flammeola,Telebasis_flammeola,,,No,,,,,,,,,,,,,,,,,,,,,,,EN,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Argia sabino,Argia_sabino,Argia_sabino,,,No,,,,,,,,,,,,,,,,,,,,,,,VU,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Ischnura gemina,Ischnura_gemina,Ischnura_gemina,,,No,,,,,,,,,,,,,,,,,,,,,,,VU,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Telebasis farcimentum,Telebasis_farcimentum,Telebasis_farcimentum,,,No,,,,,,,,,,,,,,,,,,,,,,,VU,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Mioora lugubris,Mioora_lugubris,Mioora_lugubris,,,Yes,,,,,,,,,,,,,,,,,,,,,,,VU,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Hetaerina rudis,Hetaerina_rudis,Hetaerina_rudis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,VU,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Paraphlebia zoe,Paraphlebia_zoe,Paraphlebia_zoe,,,Yes,,,,,,,,,,,,,,,,,,,,,,,VU,TH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Suárez-Tovar et al., 2019)",,,,,,,,,,,,,
Archineura incarnata,Archineura_incarnata,Archineura_incarnata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Archineura hetaerinoides,Archineura_hetaerinoides,Archineura_hetaerinoides,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Atrocalopteryx atrata,Atrocalopteryx_atrata,Atrocalopteryx_atrata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Caliphaea confusa,Caliphaea_confusa,Caliphaea_confusa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx aequabilis,Calopteryx_aequabilis,Calopteryx_aequabilis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx amata,Calopteryx_amata,Calopteryx_amata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx cornelia,Calopteryx_cornelia,Calopteryx_cornelia,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx exul,Calopteryx_exul,Calopteryx_exul,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx haemorrhoidalis,Calopteryx_haemorrhoidalis,Calopteryx_haemorrhoidalis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx maculata,Calopteryx_maculata,Calopteryx_maculata,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx splendens,Calopteryx_splendens,Calopteryx_splendens,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx virgo,Calopteryx_virgo,Calopteryx_virgo,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Calopteryx xanthostoma,Calopteryx_xanthostoma,Calopteryx_xanthostoma,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Echo modesta,Echo_modesta,Echo_modesta,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Hetaerina americana,Hetaerina_americana,Hetaerina_americana,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Hetaerina titia,Hetaerina_titia,Hetaerina_titia,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Matrona basilaris,Matrona_basilaris,Matrona_basilaris,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Matronoides cyaneipennis,Matronoides_cyaneipennis,Matronoides_cyaneipennis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Mnais andersoni,Mnais_andersoni,Mnais_andersoni,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Mnais costalis,Mnais_costalis,Mnais_costalis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Mnais mneme,Mnais_mneme,Mnais_mneme,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Mnais pruinosa,Mnais_pruinosa,Mnais_pruinosa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Neurobasis chinensis,Neurobasis_chinensis,Neurobasis_chinensis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Phaon camerunensis,Phaon_camerunensis,Phaon_camerunensis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Phaon iridipennis,Phaon_iridipennis,Phaon_iridipennis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Psolodesmus mandarinus,Psolodesmus_mandarinus,Psolodesmus_mandarinus,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Sapho bicolor,Sapho_bicolor,Sapho_bicolor,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Sapho gloriosa,Sapho_gloriosa,Sapho_gloriosa,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Umma longistigma,Umma_longistigma,Umma_longistigma,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Umma saphirina,Umma_saphirina,Umma_saphirina,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Vestalis saphirina,Vestalis_saphirina,Vestalis_saphirina,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Vestalis amoena,Vestalis_amoena,Vestalis_amoena,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Vestalis gracilis,Vestalis_gracilis,Vestalis_gracilis,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Vestalis lugens,Vestalis_lugens,Vestalis_lugens,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Outomuro et al., 2013)",,,,,,,,,,,,,
Enallagma doubledayi,Enallagma_doubledayi,Enallagma_doubledayi,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Percher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(Mason, 2017)",,,,,,,,,,,,,
